21796388,https://en.wikipedia.org/wiki?curid=21796388,Airbag (disambiguation),Airbag is a device designed to inflate rapidly in a collision.          Airbag may also refer to:,[]
18751502,https://en.wikipedia.org/wiki?curid=18751502,Call 911,"Call 911 is a television show that premiered as a Court TV special on August 21, 2007, and began airing as a series on July 30, 2008 on Investigation Discovery. The series began airing on Discovery Fit & Health in February 2011. Each episode documents real 911 calls from people in trouble to emergency dispatchers. Call 911 was initially picked up as a twenty-episode series, but Investigation Discovery ordered a second season which consisted of 40 additional episodes.","['Non-fiction television series', '2007 American television series debuts', 'Investigation Discovery shows']"
21035091,https://en.wikipedia.org/wiki?curid=21035091,Texter (surname),Texter is a surname. Notable people with the surname include:,[]
32032900,https://en.wikipedia.org/wiki?curid=32032900,Keith Irvine,"Keith Briscoe Irvine (14 October 1928, Aberdeen, Scotland – 31 May 2011, Carmel, New York) was an American-based interior designer of Scottish descent.           Trained at the Kingston Art School, then did his military service in the Seaforth Highlanders in Malaysia ( during the Malayan Emergency). He then graduated from The Royal College of Art , London UK, in 1955. After graduating he wrote to John Fowler ( Colefax & Fowler), writing "" You are the only person in the world I want to work for"". Unfortunately, his interview with John Fowler didn't go as well as one might hope. John Fowler said to him "" What ""have"" you been doing at that college for three years? You know nothing!"".Luckily, three weeks later, Imogene Taylor of Colefax & Fowler called to offer him a position. His first celebrity job was an apartment in Eaton Square for Sir Laurence Olivier and Vivian Leigh, as well as working on their country house. After a couple of years or working with John Fowler and Nancy Lancaster, he realized that he was never going to climb any higher at Colefax & Fowler, luckily Mrs. Henry ""Sister Parish"" II was in London.          John Fowler "" lent"" Keith out to Sister Parish for job in Johannesburg, who, when the job was finished, offered Keith a job in New York and $40.00 a week. So in 1957 he left England for the Big Apple, with $38.00 in his pocket. The next morning he took a cab straight from the boat to the Sutton Place home address of Sister Parish- who had forgotten that she had hired him. On the first day in the office he was handed a card that read "" Lord help the Mister who comes between you and Sister"", things went downhill from there. Keith did not like Sister Parish, and not only because he wasn't allowed to use the bathroom ( it was all women in the office), and had to go across the street to the Old Westbury Hotel, instead. He was not impressed by Sister Parish's decorating, which he said was "" appealing on the surface but without depth"". He managed to deal with the situation for nine months before he informed Sister Parish that he was leaving to start his own firm. On hearing this news Sister Parish said to him "" you will never last for a year. You don't ""know"" anyone."".          When Keith first arrived in New York he had searched for an apartment share in the New York Times, and ended up meeting Robin Roberts . Before things could really settle Keith had a partner and firm, Roberts & Irvine . Finding it difficult to find the French and English fabrics that where a staple in Keith Irvine's decorating style, Roberts and Irvine created the fabric house Clarence House. Tom Fleming became an assistant as the business took off. Before the year was out the firm split ( Keith claimed that with the influx of ""top drawer"" clients, Roberts had become a ""liability"" as he didn't ""move readily in ""polite society""', Roberts took Clarence House, and Keith left to start Keith Irvine & Co. Tom Fleming stayed on with him and became a partner on January 1st, 1967 and Irvine & Fleming was born. Many successful designers started their careers as Keith Irvine's assistant, such as Tom Fleming, Mario Buatta, Sam Blount, Gary Zarr, Richard Keith Langham, Greg Jordan, Edwin Jackson, and Jason Bell.          Keith Irvine's celebrity clients included Leonard Bernstein, William F. Buckley, Jr., Cary Grant, Rex Harrison, Vivien Leigh, Laurence Olivier, Jacqueline Kennedy Onassis, Ted Kennedy, Jerome Robbins, Diana Ross, Alfred Gwynne Vanderbilt II, and Wallis, Duchess of Windsor, and many more.          Keith Irvine died on May 31, 2011, and was survived by his wife, author and former fashion designer, Chippy Irvine; his daughters, Emma and Jassy; and grandchild, Caleigh.","['1928 births', '2011 deaths', 'Scottish emigrants to the United States', 'Alumni of the Royal College of Art', 'Scottish interior designers', 'People from Aberdeen']"
15158157,https://en.wikipedia.org/wiki?curid=15158157,Kempy Kay,"""Kempy Kay"" is Child ballad no. 33.","['Child Ballads', 'Year of song unknown']"
25270172,https://en.wikipedia.org/wiki?curid=25270172,Teatro Manuel Ascencio Segura,"The Teatro Manuel Ascencio Segura is a theatre and concert hall in Lima, Peru. It is one of the oldest theatres in Latin America.          In 1615 an open-air theater (Corral de Comedias) was built on the same spot where the Teatro Segura is located. This original open-air theater was destroyed by an earthquake on 1746 and rebuilt a year later. The theater was later reformed on 1822 and 1874. The actual construction was built in 1909 under the name of ""Teatro Municipal"". The name was changed in 1929 to ""Teatro Manuel Ascencio Segura"", after the Teatro Municipal de Lima was bought by the Municipality of Lima.","['Theatres in Peru', 'Buildings and structures in Lima', 'Visitor attractions in Lima']"
11911063,https://en.wikipedia.org/wiki?curid=11911063,Xiphinema brevicolle,Xiphinema brevicolle is a plant pathogenic nematode infecting mangoes.,"['Agricultural pest nematodes', 'Mango tree diseases', 'Enoplia']"
41600763,https://en.wikipedia.org/wiki?curid=41600763,Dennis Marsh,"Dennis Marsh is a New Zealand country music singer and television presenter, best known for his series of popular albums in the 2010s and for hosting the country music TV show ""My Country Song"". He is New Zealand's best selling country music artist.           Marsh was born in Te Kuiti, New Zealand in 1951 and has Ngāpuhi and Ngati Hine iwi affiliations. He moved to Auckland to pursue a career as a carpenter, but became involved with Christian music, studied theology and lead a youth ministry. In 1984 Marsh became involved with country music and began performing around New Zealand. He won a number of local awards, and eventually release his debut album, ""For You"", in 1989.          Marsh has since released 25 albums, including two which reached No. 1 on the New Zealand albums chart, four gold albums and six platinum albums. He has won numerous country music awards, including being honoured as the 2011 Country Music Legend at the National Country Music Awards, and inducted into the Golden Guitar Awards Hands of Fame, also in 2011.          In 2013 Marsh hosted the Māori Television country music showcase series ""My Country Song"". This was followed by a compilation album, ""The Best of My Country Song"" and a live album, ""My Country Song – The Showcase Concert"", both of which featured songs from Marsh.","['Living people', 'New Zealand country singers', 'New Zealand male singers', 'New Zealand television presenters', '1951 births', 'People from Te Kuiti']"
2068543,https://en.wikipedia.org/wiki?curid=2068543,Silas Garber,"Silas Garber (September 21, 1833 – January 12, 1905) was the founder of Red Cloud, Nebraska and was also Nebraska's third Governor.          Garber was born in Logan County, Ohio. He moved to Clayton County, Iowa when he was seventeen and started farming. He was married to Rosella Dana, and then to Lyra C. Wheeler.          At the start of the Civil War, Garber joined the 3rd Missouri Regiment on October 3, 1862. He later transferred to Co. D, 27th Iowa Infantry, with a promotion to captain on April 13, 1863. He was mustered out of the Army on August 8, 1865. He left the Midwest and moved to California where he engaged in livestock trading.          Garber returned to the Midwest in 1870. He settled in Webster County, Nebraska, and in 1872, he laid out the town site of Red Cloud. Garber served as probate judge of Webster County, and in 1872 he was elected to the Nebraska House of Representatives. In 1873 he became Register of the U.S. Land Office in Lincoln. He received the Republican nomination, and in 1874, Garber became the fourth (third elected) Governor of Nebraska. He served on the University of Nebraska board of regents from 1875 to 1876. After re-election and serving out his second term, Garber returned to Red Cloud.          Silas Garber died in Red Cloud, Nebraska, after a long illness. He is interred at Red Cloud Cemetery, Red Cloud, Nebraska.","['1833 births', '1905 deaths', 'Governors of Nebraska', 'Union Army soldiers', 'People from Logan County, Ohio', 'People of Iowa in the American Civil War', 'People from Webster County, Nebraska', 'Nebraska Republicans', 'Members of the Nebraska House of Representatives', 'American city founders', 'Republican Party state governors of the United States']"
27748515,https://en.wikipedia.org/wiki?curid=27748515,Sinuber sculptum,"Sinuber sculptum is a species of predatory sea snail, a marine gastropod mollusk in the family Naticidae, the moon snails.          The maximum recorded shell length is 9.5 mm.          Minimum recorded depth is 94 m. Maximum recorded depth is 855 m.",['Naticidae']
1406853,https://en.wikipedia.org/wiki?curid=1406853,PSM,"PSM, an acronym, may refer to:",[]
39437061,https://en.wikipedia.org/wiki?curid=39437061,Aston Martin CC100,"The Aston Martin CC100 Speedster is a concept car produced by the British car company Aston Martin to celebrate its 100th anniversary, announced in May 2013 at the ADAC Zurich 24 Hours of Nürburgring race. Only two were produced and both were sold to very loyal customers. One of the owners plans to keep it in his private collection, while the owner of the second car plans to get regulatory approval so it can be driven on public roads.          The CC100 is powered by a naturally aspirated V12 engine mated to an automated sequential manual 6-speed gearbox, enabling a claimed limited top speed of , and acceleration from 0 to in under 4 seconds.          The CC100 is inspired by the 1950s DBR1 with an open split cockpit, cutaway doors and twin rear buttresses, designed by Miles Nurnberger. It is built on the VH platform, with a carbonfibre body designed and built at the company's headquarters in Gaydon.","['Aston Martin vehicles', 'Concept cars']"
124391,https://en.wikipedia.org/wiki?curid=124391,"Summerlin South, Nevada","Summerlin South, also seen on maps as South Summerlin, is an affluent census-designated place (CDP) in Clark County, Nevada, United States, on the western edge of the Las Vegas Valley and adjacent to the Red Rock Canyon National Conservation Area. It is so named because it is a southward extension of the master-planned community of Summerlin. Nearly all of Summerlin South is in ZIP code 89135. The population was 24,085 at the 2010 Census.          The Summerlin South Community Association is the main governmental entity of the area – it is a homeowners association for the entire community. It is the only unincorporated area of the Las Vegas Valley that does not have a town advisory board.          Summerlin South is considered to be one of the most prestigious neighborhoods in the Las Vegas Valley. The area includes The Ridges, a highly affluent guard-gated community of luxury mansions in southwest Summerlin. In The Ridges, the average home price is $2,600,000 with many continuing into the eight-figure range.           It is bounded on the north by Charleston Boulevard, Hualapai Way to the east and Red Rock National Conservation Area to the west. Current development expands just below Russell Rd on the south but future developments will expand to Maule Ave.          According to the United States Census Bureau, the CDP has a total area of 9.64 square miles (24.97 km²).          As of the census of 2010, there were 24,085 people and 10,173 households residing in the CDP. The population density was 2,497.4 people per square mile (964.6/km²). The racial makeup of the CDP was 76.2% White, 4.4% African American, 0.4% Native American, 12.8% Asian, 0.4% Pacific Islander, 1.8% from other races, and 3.9% from two or more races. Hispanic or Latino of any race were 8.6% of the population.          There were 10,173 households out of which 27.7% had children under the age of 18 living with them. 54.6% were married couples living together, and 33.3% were non-families. 25.7% of all households were made up of individuals and 2.9% had someone living alone who was 65 years of age or older. The average household size was 2.37 and the average family size was 2.86.          In the CDP, the age distribution was 21.3% under the age of 18 and 78.7% over the age of 18. Age 65 and over made up 18% of the population. The median age was 42.9 years.          Between 2011-2013, median household income was $91,535 and mean household income was $139,061.","['Las Vegas Valley', 'Summerlin', 'Census-designated places in Clark County, Nevada', 'Census-designated places in Nevada']"
24482861,https://en.wikipedia.org/wiki?curid=24482861,"Braniște, Rîșcani","Braniște is a commune in Rîșcani district, Moldova. It is composed of four villages: Avrămeni, Braniște, Reteni and Reteni-Vasileuți.","['Communes of R\xc3\xae\xc5\x9fcani district', 'Populated places on the Prut']"
11699343,https://en.wikipedia.org/wiki?curid=11699343,Richard Derr,"Richard Derr (June 15, 1918 – May 8, 1992) was an American actor who worked on stage, screen and television, performing in both starring and supporting roles. A life member of The Actors Studio, Derr landed the majority of his leading roles on stage; on the screen, he was primarily a character actor. Beginning in the 1950s, most of Derr's work was done on television. In 1955 he sang in the lead role in the Broadway musical ""Plain and Fancy"". In 1965 he played the role of Dr. Dwyer in the three-part serial, ""The Adventures of Gallegher,"" on ""Walt Disney's Wonderful World of Color"".","['1918 births', '1992 deaths', '20th-century American male actors', 'American male television actors', 'American male film actors', 'Cancer deaths in California', 'Deaths from pancreatic cancer', 'Male actors from Pennsylvania', 'People from Norristown, Pennsylvania']"
33077944,https://en.wikipedia.org/wiki?curid=33077944,Armardeh,"Armardeh (, also Romanized as Ārmardeh and Armadeh; also known as Armado and Armordah) is a city in and capital of Alut District, in Baneh County, Kurdistan Province, Iran. At the 2006 census, its population was 2,062, in 427 families. ","['Populated places in Baneh County', 'Cities in Iran', 'Cities in Kurdistan Province']"
48928726,https://en.wikipedia.org/wiki?curid=48928726,Delhi Mellei,"Delhi Mellei is a 2014 Manipuri film directed by Ajit Ningthouja, produced by Bishoya Potshangbam, and presented by Mixn Raj under the banner of Rajkumar films. It stars Bala Hijam as the titular protagonist with Gurumayum Bonny in the lead, with Christy Moirangthem, Ratan Lai, Niranjan, Loken, Geeta, Anu Sagolshem, Raj Baduria, Rohen, Shila, Telheiba portraying supporting roles. The story of the film was written by Mixn Raj and Maheiba Moirangcha. The shooting of the film was mainly done in Delhi.          Delhi Mellei was premiered at Shankar Lal Auditorium, North Campus, New Delhi, on 15 November 2014 and released at Bhagyachandra Open Air Theatre (BOAT), Imphal, Manipur, on 21 December 2014. The film was also premiered at Physics Auditorium, Punjab University, Chandigarh, on 16 November 2014; St. Patricks Community Hall, Bengaluru on 26 January 2015; Andra Saraswatha Parisab Auditorium, Opposite Aditya Hospital, Hyderabad on 1 February 2015 and Maulana Abdul Kalam Azad Memorial Hall, German Bakery, Karegaon Park, Pune on 15 February 2015.          The full movie was officially released by Tantha Pictures in YouTube on 29 June 2015.          The film is about a lady, Mellei (Bala) from Manipur, northeast India, who came to Delhi to pursue her studies in Ramjas College, Delhi University but returned empty-handed when she went on a wrong path and wasn't able to tackle the situations and events happening around her with a positive energy.          Poirei Thokchom and Boy Soraisham composed the soundtrack for the film and Mixn Raj and Maheiba Moirangcha wrote the lyrics. The songs are titled Eigi Delhi Mellei and Lottuna Thamladara.","['Manipuri-language films', 'Films shot in Delhi', '2014 films', 'Indian films']"
10447257,https://en.wikipedia.org/wiki?curid=10447257,Bliaut,"The bliaut or bliaud is a women's and also a men's overgarment worn from the eleventh to the thirteenth century in Western Europe, featuring voluminous skirts and horizontal puckering or pleating across a snugly fitted under bust abdomen. The sleeves are the most immediately notable difference when comparing the bliaut to other female outer clothing of the Middle Ages. They fit closely from the shoulder to approximately the elbow, and then widen from the elbow to drape to floor- or nearly floor-length. This garment's usage appears to be geographically limited to areas of French influence, with some works depicting the garment or the garment in transition as far away as Rome and modern Germany.          Examples of this garment and its evolution appear as early as the Bayeaux Tapestry, wherein a female figure wears a garment which is loose in the body, but has the extended sleeve that would be an identifying characteristic of the style after its transition. Later examples of statuary such as the jambs of the Cathedral of Chartres west façade portals show the full accomplishment of the bliaut on female saints and patrons, such as the ""Lady With Embroidered Hem,"" appearing on the left, beside the left portal Paintings and illuminated items that depict the item as well include a miniature called Ladder of Virtue dated to the twelfth century and the work of Claricia, a nun and illuminator who appears to be wearing one in her small self-portrait in a South German Psalter dated c. 1200, currently in the Walters Art Museum in Baltimore.          The fabrics available in this time would have been limited to woolens, linens, and silks. A fine wool or silk seems to be the best option, as linen is rather more difficult to dye a permanent color, and colored depictions of this item show a great deal of color.          The historic costuming community remains divided over the method by which the abdominal folds are achieved. Theories range from cut to lacing to fabric manipulation methods.          The achievement of skirt volume is also debated, ranging from a hipline seam with attached wide skirt to the addition of gores/godets to expand the hemline.          The Pre-Raphaelite Brotherhood became interested in the ideals and clothing of the Middle Ages and Renaissance. As a result, the bliaut as then understood is frequently featured upon women in their works. The most popular example of this particular garment in Pre-Raphaelite art may be by Edmund Blair Leighton.","['Medieval costume', '12th century in Europe', 'French clothing']"
18934980,https://en.wikipedia.org/wiki?curid=18934980,Rick Alan Ross,"Rick Alan Ross (born 1952) is an American deprogrammer, cult specialist, and author. Ross has intervened in more than 350 deprogramming cases in various countries.          Ross faced charges of unlawful imprisonment over a 1991 forcible deprogramming of United Pentecostal Church International member Jason Scott; a jury acquitted him at trial. In 1995, a civil lawsuit filed by Scott resulted in a multimillion-dollar judgement against Ross and his co-defendants. Later, Ross and Scott reached a settlement in which Ross agreed to pay Scott 5,000 and provide 200 hours of professional services at no charge.          Ross was the only deprogrammer to work with members of the religious group Branch Davidian prior to the Waco siege; some scholars later criticized his involvement with the siege.          Rick Alan Ross was born in 1952 in Cleveland, Ohio, and moved to Phoenix, Arizona in 1956. His mother worked for the Jewish Community Center and his father was a plumber. He was raised and went to school in Arizona with the exception of one year that he was sent to the Camden Military Academy in South Carolina after skipping too much school during high school. He graduated from Phoenix Union High School in 1971.           After high school, Ross worked for two years at a finance company and at a bank, but then got into legal trouble in his early 20s during a time period that he was in between jobs. In 1974, he pleaded guilty to trespassing after being charged for the attempted burglary of a vacant model home with a friend, and was sentenced to probation. In 1975, he was charged with grand theft, again with a friend, for embezzling from a jewelry shop where the friend worked. He returned everything, pleaded guilty, and was sentenced to 4 more years of probation, which was terminated early. While he was on probation, he worked for a cousin's car salvage business. During an interview with the ""New York Daily News"" in 2004, Ross said, ""I was young and foolish and made mistakes that I deeply regret. I did whatever the court required, completed my probation in 1979, and the guilty verdicts were vacated in 1983. I have gone on with my life and never again got in that kind of trouble.""          Ross became concerned about extremist organizations in 1982 when he learned that a fringe religious group had encouraged missionaries to become employees at his grandmother's nursing home where they were targeting elderly residents for conversion to Messianic Judaism. According to Ross, the missionaries were threatening Jewish residents, many of whom had survived persecution in Europe, that they'd burn in hell if they didn't convert. Outraged, Ross brought this to the attention of the home's director and of the local Jewish community and campaigned to have the group's activities stopped.          Following the incident at his grandmother's nursing home, Ross continued his involvement in the organized Jewish community and worked with the Jewish Federation of Greater Phoenix to write a brochure on the cult phenomenon in Arizona. This led the Union for Reform Judaism to appoint Ross to two national committees focused on cults and inter-religious affairs and he also volunteered as a lecturer and researcher for the denomination.          In 1983, Ross started working for Jewish Family and Children's Services (JFCS) in Phoenix as the coordinator for the Jewish Prisoners Program, which he founded. His work in the prison system covered social services for Jewish inmates, advocating for their religious rights, and providing education regarding hate groups. In addition, he chaired the Coalition of Jewish Prisoners Programs, the umbrella organization for an international group of human services agencies providing assistance to Jewish inmates and their families. He also served on the religious advisory committee for the Arizona Department of Corrections and was later elected as its chairman. From his work in the prison system, Ross discovered that prisoners were a prime target for cult groups and through his role on the religious advisory committee, he helped develop a policy on proselytizing to inmates. He also worked for Phoenix Bureau of Jewish Education, designing a curriculum and teaching about destructive cults.          In 1986 Ross left JFCS to become a full-time private consultant and deprogrammer, In this capacity, he worked with the Cult Awareness Network (CAN).          In 1989 the CBS television program ""48 Hours"" covered Ross's deprogramming of a 14-year-old boy, Aaron Paron, a member of the Potter's House Christian Fellowship. According to his mother, when she distanced herself from the church, Aaron began viewing her as ""possessed by the devil""; he became suicidal and ran away from home, refusing to leave the organization. Aaron's mother had made multiple calls to the police and, prior to filming, Potter's House entered into an agreement that they would not have contact with or harbor the minor, entice him away from his mother, attempt to influence his behavior, or take any action that would interfere with his mother's parental rights. The program focused on Ross's efforts to persuade the boy to view Potter's House as ""a destructive Bible-based group"" which took control of its members' lives. According to a review in ""The New York Times"", the 48-hour intervention apparently persuaded Aaron that his mother was not possessed by the Devil and that Potter's House was not what it seemed. In a closing scene filmed three weeks later, Aaron's psychologist assured his mother that Aaron was ""back in the land of the living now"".          In 1987, Ross deprogrammed two former members of the Branch Davidian group in upstate New York, and in 1988 began receiving calls about the Davidian group led by David Koresh in Waco, Texas. Ross was the only deprogrammer to work with Branch Davidian members prior to the 1993 siege at Waco. The CBS television network hired Ross as an on-scene analyst for their coverage of the Waco siege and he was consulted by the FBI as well.           Criticism of government agencies' involvement with Ross has come from Nancy Ammerman, a professor of sociology of religion, who cited FBI interview notes which stated Ross ""has a personal hatred for all religious cults"". She further stated the BATF and the FBI did rely on Ross when he recommended that agents ""attempt to publicly humiliate Koresh, hoping to drive a wedge between him and his followers"". Other scholars of religion also criticized Ross' involvement.          Ross faced unlawful imprisonment charges over a 1991 forcible deprogramming of United Pentecostal Church International member Jason Scott, whose mother was referred to Ross by the CAN. Ross was acquitted of these charges by the jury at trial.          Scott later filed a civil suit against Ross, two of his associates and CAN in federal court. In September 1995, a nine-member jury unanimously held the defendants liable for conspiracy to deprive Scott of his civil rights and religious liberties. In addition, the jury held that Ross and his associates (but not CAN) ""intentionally or recklessly acted in a way so outrageous in character and so extreme in degree as to go beyond all possible bounds of decency and to be regarded as atrocious and utterly intolerable in a civilized community."" The case resulted in an award of 875,000 in compensatory damages and punitive damages in the amount of 5,000,000 against Ross, 1,000,000 against CAN, and 250,000 against each of Ross's two other co-defendants. The case bankrupted the CAN, and a coalition of groups that were attacked by the CAN bought its assets, and ran a new version of the CAN which become active in religious freedom causes. According to Eugene Gallagher, the Scott case marked a watershed for non-traditional religions in North America.          Scott later reconciled with his mother, who had originally hired Ross to deprogram him. Scott terminated his lawyer, Kendrick Moxon, a prominent Scientologist attorney, and was persuaded by his mother to settle with Ross. Under the terms of the settlement, the two agreed that Ross would pay Scott 5,000 and provide 200 hours of his professional services.          According to the book ""American Countercultures"", Ross and others forwarded the notion that charismatic leaders were able to brainwash college-aged youths, and that such cases were in need of forcible removal from the cult environment and deprogramming. In a book that Ross self-published in 2014, he wrote that after the Scott case he stopped involuntary deprogramming work with adults, advising against such interventions with adults because of the risk of legal consequences.          Ross started a website with his archives in 1996. Launched under the name ""Rick A. Ross Institute for the Study of Destructive Cults, Controversial Groups, and Movements"", it displayed material on controversial groups and movements and their leaders, including Charles Manson, Jim Jones, David Koresh, as well as the Westboro Baptist Church on which Ross had been collecting data since 1993. Content from the website and Ross' opinion surrounding it has been cited in books such as Andrew Breitbart and Mark Ebner's ""Hollywood, Interrupted"" in which Ross is quoted as forwarding the notion that Hollywood and the entertainment industry is rife with connections to controversial groups, and that celebrities as role models may influence people by their endorsement of such groups. According to Ann E. Robertson the Institute ""is an unusual source of considerable information about rather obscure groups"".          In April 2004 NXIVM sued unsuccessfully against the Institute in ""NXIVM Corp. v. Ross Institute"", claiming copyright infringement. In June 2004 Landmark Education filed a 1 million lawsuit against the Institute, alleging that the Institute's online archives damaged Landmark Education's product. In December 2005, Landmark Education filed to dismiss its own lawsuit with prejudice, purportedly on the grounds of a material change in case law after the publication of an opinion in another case, ""Donato v. Moldow"", regarding the Communications Decency Act of 1996.          The website was renamed in 2013 as the ""Cult Education Institute for the Study of Destructive Cults, Controversial Groups and Movements"", published under an educational nonprofit corporation of the same name.          By 2004, Ross had handled more than 350 deprogramming cases in various countries and testified as an expert witness in several court cases. He has also contributed to a number of books, including a foreword to Tim Madigan's ""See no Evil"" and a chapter to Roman Espejo's ""Cults: Opposing Viewpoints"".          In 2014 Ross self-published the book ""Cults Inside Out"". The book was published in China in 2015 by a Hong Kong publisher. It was also translated into Italian and published in Italy.","['1952 births', 'Living people', 'People from Cleveland, Ohio', 'American adoptees', 'American religious writers', 'Exit counselors', 'Critics of Falun Gong', 'Anti-cult organizations and individuals', 'Deprogrammers']"
38915679,https://en.wikipedia.org/wiki?curid=38915679,Prorella protoptata,Prorella protoptata is a moth in the family Geometridae. It is found in south-western Texas.          The wingspan is about 16 mm. Adults have been recorded on wing from May to June.,"['Moths described in 1938', 'Eupitheciini']"
8154868,https://en.wikipedia.org/wiki?curid=8154868,California Plaza,California Plaza may refer to::,[]
36953812,https://en.wikipedia.org/wiki?curid=36953812,LingXi Library,"Lingxi Library is named after Professor Lingxi Qian, a well-known Chinese scientist,          educator, and academician. Specifically, he is a pioneer in computational structural          mechanics. professor Lingxi Qian had been working in Dalian University of Technology          since 1951. He died on April 20, 2009. Lingxi Library opened on November 6, 2009.          Lingxi Library is located in at the western end point of the east-west axis on the campus          of Dalian University of Technology. It is located at the core of the school.          The library is a modern and advanced library with a high degree of automation. The library integrates five book functions into one: collection, loan, reading. management, and search. This comprehensive open-shelf service management model is a place of ideology, academics, art, and culture.          The building design itself emphasizes the contrast of simple rectangular layout and clear structure. From an aesthetic point of view, it reflects simplicity and openness. The core of the building is a five story hall. It acts not only as the main body for traffic, but also as the command center of the whole library. The grand roof above the main entrance is a shelter to show care for library-users. The whole building is intended to convey that people are cared for and learning is a perpetual pursuit.          On the east side of the entrance plaza are wide pedestrian steps, green areas, flower beds, and an array of trees. The building is set in a landscape that gives a sense of spaciousness and welcome.          The outside wall consists of red brick, dark metal and tint glass. The library facade strives to find a balance point between classical and contemporary. It combines modern techniques and materials with architectural expression enhancing the image and characteristics of the core building. The construction area is 30,000 square meters. There are 3,000 seats.          The monumental bronze statue of Professor Lingxi Qian was unveiled in the library on July 16, 2012, the 96th anniversary of his birth. The sculpture is the work of sculptor Wei Deng who works in Dalian University of Technology. The statue is placed on a marble base located just inside the library.",['Libraries in China']
49350587,https://en.wikipedia.org/wiki?curid=49350587,Chamba Rumal,"The Chamba Rumal or Chamba handkerchief is an embroidered handicraft that was once promoted under the patronage of the former rulers of Chamba kingdom. It is a common item of gift during marriages with detailed patterns in bright and pleasing colour schemes.          This product has been registered for protection under the Geographical indication of the Trade Related Intellectual Property Rights (TRIPS) agreement. On 22 January 2007, it was listed as ""Chamba Rumal"" under the GI Act 1999 of the Government of India with registration confirmed by the Controller General of Patents Designs and Trademarks under Classes 24 as Textile and Textile Goods, vide application number 79.          Earliest reported form of this rumal is the one made by Bebe Nanki, sister of Guru Nanak in the 16th century, which is now preserved in the Gurudwara at Hoshiarpur. The Victoria Albert Museum, London has a rumal which was gifted to the British in 1883 by Raja Gopal Singh and it has an embroidered scene of the Kurukshetra War of the epic Mahabharta. However, from the 17th century the women of the erstwhile princely state of Chamba (now part of Himachal Pradesh), including members of the royal family, indulged in embroidery of the rumals or handkerchiefs as a part of a marriage gifts or dowry to their daughters.          The handkerchiefs were made in geometrical shapes of square and rectangle using very fine hand made silk which was obtained from the Punjab or muslin cloth, a product of Bengal. Women created highly ornamental patterns using untwined thread made of silk produced in Sialkot (in Pakistan), Amritsar and Ludhiana. The embroidery technique adopted, called the ""dohara tanka"" or double satin stitch, created distinct identical patters on both faces of the fabric, which were attractive when viewed even from distance of 10 ft and more. The ""dohara tanka"" method is a heritage of Kashmir, which was adopted in Basohli and Chamba, but was improved upon by adopting themes from the special Mughal art of Chamba miniature paintings; this art form flourished during the 18th and 19th centuries. Following the downfall of the Mughal empire many expert artists of this craft migrated to the hill region of Himachal Pradesh. Raja Umed Singh of Chamba (1748–68) patronized the artists. These artists drew the outlines of the design on the fabric to be embroidered using fine charcoal and also suggested suitable colours to be adopted on the mythological themes of Krishna's raas-leela of the epic Mahabharata, and themes from Ramayana or scenes of marriage and game hunting to be embroidered; themes also included events from Gita Govinda, Bhagvat purana or only Radha-Krishna and Shiva-Parvati. Inspiration was also provided from the frescoes done in the Rang Mahal of Chamba. The women then executed the embroidery. In early 19th century, when Maharaja Ranjit Singh ruled over the Punjab Hill States, Sikh style of painting also influenced the Chamba Rumal.          Following Indian Independence, this art work lost its royal patronage, and quality deteriorated due to commercialization by making many cheaper varieties such as table cloths, cushion covers, clothing, and even various machine made items to compete in the market with cheaper similar work from other regions.          To revive this art work, in the later part of 1970s, at the initiative of Usha Bhagat (a friend of Indira Gandhi), the DCC located the original designs of this art work from museums and collections, and women artists were then trained in this art work. As a result 16 designs have been recreated and quality restored.          Known as a ""needle wonder"" Chamba Rumal is now made in square and rectangular shapes. The materials used still consist of muslin, malmal, khaddar (a coarse fabric), fine charcoal or brush, and silk threads without knots. Using a double satin stitch for the embroidery, both faces of the cloth are concurrently stitched by a forward and backward technique to maintain uniformity of design on both faces of the rumal. After completing the embroidery, the fabric is stitched with a border of about 2 to 4 inches on all sides.          Bibliography","['Indian handicrafts', 'Culture of Himachal Pradesh', 'Economy of Himachal Pradesh', 'Embroidery in India', 'Geographical Indications in Himachal Pradesh', 'Chamba district']"
